Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001540_2	50917796	2731414	5.364360232717065	48186382	94.63563976728292	0.04	20367.1184	0.55	280047.878	0.07	35642.457200000004	0.34	173120.5064	2.61	1328954.4756	0.13	66193.1348	0.64	325873.8944	0.99	504086.18039999995
RSS0001541_1																					
RSS0001541_2	55430844	2324009	4.192627844526416	53106835	95.80737215547359	0.03	16629.2532	0.5	277154.22000000003	0.06	33258.5064	0.36	199551.0384	1.61	892436.5884	0.13	72060.0972	0.56	310412.72640000004	0.95	526593.018
RSS0001542_1																					
RSS0001542_2	61569378	2772087	4.502379413350578	58797291	95.49762058664942	0.04	24627.751200000002	0.52	320160.7656	0.07	43098.564600000005	0.41	252434.44979999997	1.62	997423.9236000002	0.16	98511.00480000001	0.6	369416.268	1.08	664949.2824
RSS0001543_1																					
RSS0001543_2	63436018	2692522	4.244468812654666	60743496	95.75553118734533	0.04	25374.4072	0.49	310836.48819999996	0.07	44405.212600000006	0.4	253744.07200000001	1.33	843699.0394000001	0.15	95154.027	0.68	431364.92240000004	1.06	672421.7908
RSS0001544_1																					
RSS0001544_2	52629338	2956133	5.616891856021446	49673205	94.38310814397856	0.06	31577.602799999997	0.5	263146.69	0.09	47366.4042	0.49	257883.7562	2.14	1126267.8332000002	0.17	89469.87460000001	0.87	457875.24059999996	1.31	689444.3278
RSS0001545_1																					
RSS0001545_2	67442200	3849947	5.708513364036167	63592253	94.29148663596382	0.05	33721.1	0.46	310234.12	0.1	67442.2	0.51	343955.22000000003	2.01	1355588.2199999997	0.2	134884.4	1.0	674422.0	1.37	923958.14
RSS0001546_1																					
RSS0001546_2	59461412	3011109	5.063971572017159	56450303	94.93602842798285	0.06	35676.8472	0.51	303253.2012	0.09	53515.2708	0.48	285414.7776	1.68	998951.7215999999	0.16	95138.2592	0.86	511368.1432	1.22	725429.2263999999
RSS0001547_1																					
RSS0001547_2	60038492	3086721	5.141236725266184	56951771	94.85876327473382	0.06	36023.095199999996	0.5	300192.46	0.1	60038.492	0.51	306196.3092	1.61	966619.7212	0.17	102065.4364	0.89	534342.5788	1.3	780500.3960000001
RSS0001548_1																					
RSS0001548_2	62472362	3718990	5.953016471507833	58753372	94.04698352849216	0.06	37483.417199999996	0.52	324856.28239999997	0.11	68719.59820000001	0.53	331103.5186	2.18	1361897.4916	0.18	112450.2516	0.95	593487.439	1.42	887107.5403999999
RSS0001549_1																					
RSS0001549_2	54039808	2864620	5.300944074412699	51175188	94.6990559255873	0.06	32423.884799999996	0.5	270199.04	0.1	54039.808000000005	0.46	248583.1168	1.9	1026756.352	0.16	86463.6928	0.9	486358.27200000006	1.22	659285.6575999999
RSS0001550_1																					
RSS0001550_2	65799322	3775471	5.737856994939857	62023851	94.26214300506014	0.08	52639.4576	0.5	328996.61	0.13	85539.1186	0.59	388215.9998	1.59	1046209.2198000001	0.2	131598.644	1.15	756692.203	1.51	993569.7622
RSS0001551_1																					
RSS0001551_2	55606646	2400567	4.317050519464885	53206079	95.68294948053511	0.04	22242.6584	0.5	278033.23	0.06	33363.9876	0.38	211305.2548	1.66	923070.3236	0.15	83409.969	0.56	311397.21760000003	0.97	539384.4662
RSS0001552_1																					
RSS0001552_2	40101982	3149838	7.8545693826305145	36952144	92.14543061736948	0.13	52132.5766	0.5	200509.91	0.2	80203.964	0.87	348887.2434	1.92	769958.0543999999	0.27	108275.3514	1.75	701784.685	2.22	890264.0004
RSS0001553_1																					
RSS0001553_2	97205392	13711967	14.106179418524437	83493425	85.89382058147557	0.01	9720.539200000001	0.3	291616.176	0.03	29161.617599999998	0.21	204131.32319999998	12.55	12199276.696	0.1	97205.392	0.31	301336.7152	0.6	583232.352
RSS0001554_1																					
RSS0001554_2	70846312	2683169	3.787309352108547	68163143	96.21269064789145	0.02	14169.262400000001	0.47	332977.66639999993	0.04	28338.524800000003	0.31	219623.5672	1.6	1133540.992	0.12	85015.5744	0.41	290469.87919999997	0.82	580939.7583999999
RSS0001555_1																					
RSS0001555_2	36467448	1408059	3.861139392040814	35059389	96.13886060795919	0.02	7293.489600000001	0.51	185983.9848	0.03	10940.2344	0.25	91168.62	1.89	689234.7672	0.1	36467.448000000004	0.33	120342.5784	0.72	262565.62559999997
RSS0001556_1																					
